日期,F001,F001模型预测值,F001恢复值（*25,F002,F002模型预测值,F002恢复值（*25,F003,F003模型预测值,F003恢复值（*25,F004,F004模型预测值,F004恢复值（*25,F005,F005模型预测值,F005恢复值（*25,F006,F006模型预测值,F006恢复值（*25,F007,F007模型预测值,F007恢复值（*25,F008,F008模型预测值,F008恢复值（*25,F009,F009模型预测值,F009恢复值（*25,F010,F010模型预测值,F010恢复值（*25,F011,F011模型预测值,F011恢复值（*25,F012,F012模型预测值,F012恢复值（*25,F013,F013模型预测值,F013恢复值（*25,F014,F014模型预测值,F014恢复值（*25
20180101,F001,1.2336447,30.8411175,F002,1.9919722,49.799305,F003,1.1773936,29.43484,F004,1.2180234,30.450585,F005,1.0098999,25.2474975,F006,1.0862486,27.156215,F007,1.3556105,33.8902625,F008,1.5434773,38.5869325,F009,2.5265977,63.1649425,F010,0.91480684,22.870171,F011,1.9756074,49.390185,F012,1.0089779,25.2244475,F013,2.2565064,56.41266,F014,1.2974403,32.4360075
20180102,F001,3.0221386,75.553465,F002,5.026212,125.6553,F003,3.1703396,79.25849,F004,3.1005464,77.51366,F005,3.2009444,80.02361,F006,2.9928358,74.820895,F007,4.776147,119.403675,F008,4.8443246,121.108115,F009,12.482367,312.059175,F010,2.2610059,56.5251475,F011,6.4888854,162.222135,F012,2.3352838,58.382095,F013,9.812493,245.312325,F014,4.2850914,107.127285
20180103,F001,3.0339277,75.8481925,F002,4.9804616,124.51154,F003,3.2238686,80.596715,F004,3.148355,78.708875,F005,3.2776885,81.9422125,F006,3.0616393,76.5409825,F007,4.954172,123.8543,F008,5.0083838,125.209595,F009,13.171319,329.282975,F010,2.299634,57.49085,F011,6.7875485,169.6887125,F012,2.380944,59.5236,F013,10.30866,257.7165,F014,4.4343243,110.8581075
20180104,F001,2.9905255,74.7631375,F002,4.919876,122.9969,F003,3.2060914,80.152285,F004,3.123326,78.08315,F005,3.2914174,82.285435,F006,3.0722547,76.8063675,F007,5.034492,125.8623,F008,5.0634394,126.585985,F009,13.330456,333.2614,F010,2.2829418,57.073545,F011,6.899437,172.485925,F012,2.3706477,59.2661925,F013,10.416938,260.42345,F014,4.494903,112.372575
20180105,F001,2.9177344,72.94336,F002,4.8310585,120.7764625,F003,3.1465576,78.66394,F004,3.056881,76.422025,F005,3.2674668,81.68667,F006,3.047874,76.19685,F007,5.065997,126.649925,F008,5.058382,126.45955,F009,13.386376,334.6594,F010,2.2340295,55.8507375,F011,6.9214373,173.0359325,F012,2.3264713,58.1617825,F013,10.446142,261.15355,F014,4.502966,112.57415
20180106,F001,2.7857277,69.6431925,F002,4.7044625,117.6115625,F003,2.9612513,74.0312825,F004,2.8226762,70.566905,F005,2.9576185,73.9404625,F006,2.8017285,70.0432125,F007,4.5217466,113.043665,F008,4.53779,113.44475,F009,12.113486,302.83715,F010,2.0849116,52.12279,F011,6.0964737,152.4118425,F012,2.1467247,53.6681175,F013,9.370417,234.260425,F014,4.0329933,100.8248325
20180107,F001,2.7359395,68.3984875,F002,4.6196957,115.4923925,F003,2.9126458,72.816145,F004,2.7631638,69.079095,F005,2.9423811,73.5595275,F006,2.78303,69.57575,F007,4.5677967,114.1949175,F008,4.541882,113.54705,F009,12.210065,305.251625,F010,2.0444658,51.111645,F011,6.155373,153.884325,F012,2.1056795,52.6419875,F013,9.469373,236.734325,F014,4.042467,101.061675
20180108,F001,2.9125478,72.813695,F002,4.939265,123.481625,F003,2.9997308,74.99327,F004,2.9320118,73.300295,F005,3.020451,75.511275,F006,2.827802,70.69505,F007,4.438995,110.974875,F008,4.4972954,112.432385,F009,10.575212,264.3803,F010,2.1333025,53.3325625,F011,5.9247556,148.11889,F012,2.2012053,55.0301325,F013,8.516007,212.900175,F014,3.9856987,99.6424675
20180109,F001,3.0221386,75.553465,F002,5.026212,125.6553,F003,3.1703396,79.25849,F004,3.1005464,77.51366,F005,3.2009444,80.02361,F006,2.9928358,74.820895,F007,4.776147,119.403675,F008,4.8443246,121.108115,F009,12.482367,312.059175,F010,2.2610059,56.5251475,F011,6.4888854,162.222135,F012,2.3352838,58.382095,F013,9.812493,245.312325,F014,4.2850914,107.127285
20180110,F001,3.0339277,75.8481925,F002,4.9804616,124.51154,F003,3.2238686,80.596715,F004,3.148355,78.708875,F005,3.2776885,81.9422125,F006,3.0616393,76.5409825,F007,4.954172,123.8543,F008,5.0083838,125.209595,F009,13.171319,329.282975,F010,2.299634,57.49085,F011,6.7875485,169.6887125,F012,2.380944,59.5236,F013,10.30866,257.7165,F014,4.4343243,110.8581075
